,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,scopus,wos,kci,sum
1386,Realization of H2S sensing by Pd-functionalized networked CuO nanowires in self-heating mode,0,Woo Kim H.,Elsevier B.V.,"Kim Jinyoung, Lee Jaehyoung, Kim Jae-hun, Mirzaei Ali, Kim Hyoun Woo, Kim Sang Sub",126965,Article,"Sensors and Actuators, B: Chemical",15-Nov-19,,1,1,0,1
1387,Selective H2S sensing without external heat by a synergy effect in self-heated CuO-functionalized SnO2-ZnO core-shell nanowires,0,Kim H.W.,Elsevier B.V.,"Kim Jae-hun, Mirzaei Ali, Bang Jaehoon, Kim Hyoun Woo, Kim Sang Sub",126981,Article,"Sensors and Actuators, B: Chemical",01-Dec-19,,1,1,0,1
1388,Room-temperature NO2 sensor based on electrochemically etched porous silicon,0,Kim S.S.,Elsevier Ltd,"Choi Myung-sik, Na Han-gil, Mirzaei Ali, Bang Jaehoon, Oum Wansik, Han Seungmin, Choi Sunwoo, Kim Mooshob, Jin Changhyun, Kim Sang Sub, Kim Hyoun Woo",151975,Article,Journal of Alloys and Compounds,30-Nov-19,,1,1,0,1
1389,0,0,0,0,0,0,0,0,0,,0,1,0,1
1390,Dimethylenebis-(tetra-decyldimethylammonium Bromide)-Driven Metal Nanoparticles: Hg2+ Sensing a Competency,0,Katoch A.,American Chemical Society,"Rana Dolly, Jamwal Deepika, Kim Sang Sub, Katoch Akash, Thakur Pankaj, Park Jaeyoung",13782-13789,Article,ACS OmegaOpen Access,27-Aug-19,,1,1,0,1
1391,Co3O4-loaded ZnO nanofibers for excellent hydrogen sensing,0,Kim H.W.,Elsevier Ltd,"Lee Jaehyoung, Kim Jinyoung, Kim Jae-hun, Mirzaei Ali, Kim Hyoun Woo, Kim Sang Sub",27499-27510,Article,International Journal of Hydrogen Energy,18-Oct-19,,1,1,0,1
1392,Low-temperature H2S sensors based on Si-coated SnO2 nanowires,0,Kim S.S.,Korean Institute of Metals and Materials,"Choi Myung-sik, Mirzaei Ali, Bang Jaehoon, Na Han-gil, Jin Changhyun, Oum Wansik, Han Seungmin, Kim Sang Sub, Kim Hyoun Woo",732-740,Article,Journal of Korean Institute of Metals and MaterialsOpen Access,2019,,1,1,1,1
1393,Ppb-level selective hydrogen gas detection of pd-functionalized In2O3-loaded ZnO nanofiber gas sensors,0,Kim S.S.,MDPI AG,"Lee Jaehyoung, Kim Jae-hun, Kim Jinyoung, Mirzaei Ali, Kim Hyoun Woo, Kim Sang Sub",4276,Article,Sensors (Switzerland)Open Access,01-Oct-19,,1,1,0,1
1394,A novel X-ray radiation sensor based on networked SnO2 nanowires,0,Kim H.W.,MDPI AG,"Kim Jae-hun, Mirzaei Ali, Kim Hyoun Woo, Kim Hongjoo, Vuong Phan Quoc, Kim Sang Sub",4878,Article,Applied Sciences (Switzerland)Open Access,01-Nov-19,,1,1,0,1
1395,Nanostructured semiconducting metal oxide gas sensors for acetaldehyde detection,0,Mirzaei A.,MDPI Multidisciplinary Digital Publishing Institute,"Mirzaei Ali, Kim Hyoun Woo, Kim Sang Sub, Neri Giovanni",56,Review,ChemosensorsOpen Access,01-Dec-19,,1,1,0,1
1396,Resistive gas sensors based on metal-oxide nanowires,0,Mirzaei A.,American Institute of Physics Inc.,"Mirzaei Ali, Lee Jaehyoung, Majhi Sanjit Manohar, Weber Matthieu J., Bechelany Mikhael C., Kim Hyoun Woo, Kim Sang Sub",241102,Review,Journal of Applied Physics,28-Dec-19,,1,1,0,1
1397,0,0,0,0,0,0,0,0,0,,0,0,1,1
1398,0,0,0,0,0,0,0,0,0,,0,0,1,1
1399,Career Decision Making for Korean International College Students: Acculturation and Networking,0,Eissenstat S.J.,Wiley Blackwell,"Nadermann Kristen, Eissenstat Sun Hee Jang",49-63,Article,Career Development Quarterly,Mar-18,,1,1,0,1
1400,0,0,0,0,0,0,0,0,0,,0,0,1,1
1401,Extensive digital contractures caused by gout,0,Jung K.-H.,Turkish League Against Rheumatism (TLAR),"Lee Seung-yun, Park Won, Kwon Seongryul, Kim Yeoju, Lim Mie-jin, Jo Minjae, Jung Kyong-hee",119-121,Letter,Archives of RheumatologyOpen Access,Mar-19,,1,1,0,1
1402,Evaluating the outcome of multi-morbid patients cared for by hospitalists: A report of integrated medical model in Korea,0,Kim A.J.,Korean Academy of Medical Science,"Lee Jung-hwan, Kim Ahjin, Kyong Tae-young, Jang Jihun, Park Jeongmi, Lee Jeong-hoon, Lee Man-jong, Kim Jung-soo, Suh Young-ju, Kwon Seongryul, Kim Cheol-woo",e179,Article,Journal of Korean Medical ScienceOpen Access,2019,,1,1,1,1
1403,0,0,0,0,0,0,0,0,0,,0,1,0,1
1404,0,0,0,0,0,0,0,0,0,,0,1,0,1
1405,Relationship between oxidative balance score and quality of life in patients with osteoarthritis: Data from the Korea National Health and Nutrition Examination Survey (2014-2015),0,Jung K.-H.,Lippincott Williams and Wilkins,"Lee Joo-hyun, Joo Young-bin, Han Minkyung, Kwon Seongryul, Park Won, Park Kyung-su, Yoon Bo-young, Jung Kyong-hee",e16355,Article,Medicine (United States)Open Access,01-Jul-19,,1,1,0,1
1406,A study of the magnetic fatigue properties of a magnetorheological elastomer,0,Lee C.-H.,SAGE Publications Ltd,"Lian Chenglong, Lee Kwanghee, Choi Seung Bok, Lee Chulhee",749-754,Article,Journal of Intelligent Material Systems and Structures,01-Mar-19,,1,1,0,1
1407,Piezoelectric energy harvesting pedal integrated with a compliant load amplifier,0,Lee C.-H.,SAGE Publications Inc.,"Zhang Yihe, Lee Chulhee",2019,Article,Advances in Mechanical EngineeringOpen Access,Issue 1,,1,1,0,1
1408,0,0,0,0,0,0,0,0,0,,0,0,1,1
1409,0,0,0,0,0,0,0,0,0,,0,0,1,1
1410,0,0,0,0,0,0,0,0,0,,0,0,1,1
1411,A novel piezoelectric power generator integrated with a compliant energy storage mechanism,0,Lee C.-H.,Institute of Physics Publishing,"Zhang Yihe, Lee Chulhee, Zhang Xinrong",455501,Article,Journal of Physics D: Applied Physics,19-Aug-19,,1,1,0,1
1412,An experimental study on the abrasive machining process of electronic substrate material with a novel ultraviolet-curable resin bond diamond lapping plate,0,Guo L.,Institute of Electrical and Electronics Engineers Inc.,"Guo Lei, Zhang Xinrong, Lee Chul-hee, Marinescu Ioan Demitrius, Zhang Yihe, Hui Jizhuang",64375-64385,Article,IEEE AccessOpen Access,Article number 8717985,,1,1,0,1
1413,0,0,0,0,0,0,0,0,0,,0,0,1,1
1414,Reduction Of Generated Axial Force by Constant Velocity Joint Using Contact Optimization of Tripod Joint,0,Lee C.-H.,Korean Society of Automotive Engineers,"Wi Jun-hee, Lee Kwanghee, Lee Chulhee",855-864,Article,International Journal of Automotive Technology,01-Aug-20,,1,0,0,1
1415,0,0,0,0,0,0,0,0,0,,0,1,0,1
1416,Self-Loosening Characteristics of Three-Dimensional Printed Bolted Joints,0,Lee C.-H.,Mary Ann Liebert Inc.,"Wi Jun-hee, Ahn Hyoungjong, Lee Kwanghee, Lee Chulhee",354-360,Article,3D Printing and Additive Manufacturing,Dec-19,,1,1,0,1
1417,Effectively controlled microfluidic trap for spatiotemporal analysis of the electrotaxis of Caenorhabditis elegans,0,Kim S.M.,Wiley-VCH Verlag,"Yoon Sunhee, Yeo Mingu, Kim Hoon, Jeon Tae Joon, Kim Sun-min",431-436,Article,Electrophoresis,Februaryy 2019,,1,1,0,1
1418,Hypoxic physiological environments in a gas-regulated microfluidic device,0,Jeon T.-J.,MDPI AG,"Lee Insu, Woo Jin-hyuk, Lee Min, Jeon Tae Joon, Kim Sun-min",16,Article,MicromachinesOpen Access,28-Dec-18,,1,1,0,1
1419,An electrokinetic approach to fabricating aquaporin biomimetic membranes for water purification,0,Kim S.M.,Elsevier B.V.,"Fuwad Ahmed, Ryu Hyunil, Lee Jun-hee, Kim Daejoong, Yoo Yeongeun, Kim Young Rok, Kim Sun-min, Jeon Tae Joon",09월 16일,Article,Desalination,15-Feb-19,,1,1,0,1
1420,Biomimetic membranes as potential tools for water purification: Preceding and future avenues,0,Kim S.M.,Elsevier B.V.,"Fuwad Ahmed, Ryu Hyunil, Malmstadt Noah, Kim Sun-min, Jeon Tae Joon",97-115,Review,Desalination,15-May-19,,1,1,0,1
1421,Biomimetic membranes with transmembrane proteins: State-of-the-art in transmembrane protein applications,0,Kim S.M.,MDPI AG,"Ryu Hyunil, Fuwad Ahmed, Yoon Sunhee, Jang Huisoo, Lee Jongchan, Kim Sun-min, Jeon Tae Joon",1437,Review,International Journal of Molecular SciencesOpen Access,02-Mar-19,,1,1,0,1
1422,Synthetic Anion Transporters as Endoplasmic Reticulum (ER) Stress Inducers,0,Cho D.-G.,American Chemical Society,"Aslam Adil S., Fuwad Ahmed, Ryu Hyunil, Selvaraj Baskar, Song Jae-won, Kim Dae-won, Kim Sun-min, Lee Jae-wook, Jeon Tae Joon, Cho Dong-gyu",7828-7832,Article,Organic Letters,04-Oct-19,,1,1,0,1
1423,0,0,0,0,0,0,0,0,0,,0,0,1,1
1424,Integrated vortex micro T-mixer for rapid mixing of fluids,0,Kim K.-Y.,Korean Society of Mechanical Engineers,"Ansari Mubashshir Ahmad, Kim Kwang-yong, Min Sun",5923-5931,Article,Journal of Mechanical Science and Technology,01-Dec-19,,1,1,1,1
1425,Low-Temperature Fabrication of High Quality Gate Insulator in Metal-Oxide-Semiconductor Capacitor Using Laser Annealing,0,Choi R.,Institute of Electrical and Electronics Engineers Inc.,"Yu Kyoung-moon, Ji Hyungmin, Nguyen Manh Cuong, Nguyen An Hoang Thuy, Choi Sujin, Cheon Jonggyu, Kim Jinhyun, Kim Sangwoo, Cho Seongyong, Choi Rino",167-170,Article,IEEE Electron Device Letters,Article number 8606421,,1,1,0,1
1426,Effect of strontium doping on indium zinc oxide thin film transistors fabricated by low-temperature solution process,0,Choi R.,AVS Science and Technology Society,"Kim Jinhyun, Nguyen Manh Cuong, Nguyen An Hoang Thuy, Kim Sangwoo, Choi Sujin, Cheon Jonggyu, Ji Hyungmin, Yu Kyoung-moon, Cho Seongyong, Choi Rino",32201,Article,Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,01-May-19,,1,1,0,1
1427,A strategy to boost external quantum efficiency of organic light-emitting transistors,0,Copyright 2019 Elsevier B.V. All rights reserved.,American Institute of Physics Inc.,"Cho Seongyong, Kim Sei-yong, Jeon Sohee, Choi Rino, Lee Jeong-Hwan",43301,Article,Applied Physics Letters,22-Jul-19,,1,1,0,1
1428,Effects of grain boundaries on conversion efficiencies of single-crystal-like GaAs thin-film solar cells on flexible metal tapes,0,Ryou J.-H.,Elsevier B.V.,"Pouladi Sara, Asadirad Mojtaba, Oh Seung-kyu, Shervin Shahab, Chen Jie, Wang Weijie, Manh Cuong Nguyen, Choi Rino, Kim Jiyoung, Khatiwada Devendra, Rathi Monika, Dutta Pavel, Selvamanickam Venkat, Ryou Jae-hyun",122-128,Article,Solar Energy Materials and Solar Cells,01-Sep-19,,1,1,0,1
1429,A Neuromorphic Device Implemented on a Salmon-DNA Electrolyte and its Application to Artificial Neural Networks,0,Park J.-H.,John Wiley and Sons Inc.,"Kang Dongho, Kim Jeong-hoon, Oh Seyong, Park Hyungyoul, Dugasani Sreekantha Reddy, Kang Beom-seok, Choi Changhwan, Choi Rino, Lee Sungjoo, Park Sungha, Heo Keun, Park Jinhong",1901265,Article,Advanced ScienceOpen Access,01-Sep-19,,1,1,0,1
1430,0,0,0,0,0,0,0,0,0,,0,1,0,1
1431,Usp44 promotes the tumorigenesis of prostate cancer cells through ezh2 protein stabilization,0,Kim J.H.,Korean Society for Molecular and Cellular Biology,"Park Jaemin, Lee Jae-eun, Park Chanmi, Kim Jung-hwa",17-27,Article,Molecules and Cells,2019,,1,1,1,1
1432,Sources of variability in phonetic perception: The joint influence of listener and talker characteristics on perception of the Korean stop contrast,0,Schertz J.,Ubiquity Press,"Schertz Jessamyn, Kang Yoonjung, Han Sungwoo",2019,Article,Laboratory PhonologyOpen Access,Issue 1,,1,1,0,1
1433,A formulated red ginseng extract inhibits autophagic flux and sensitizes to doxorubicin-induced cell death,0,Kim Y.-S.,Elsevier B.V.,"Park Han-hee, Choi Seung-won, Lee Gwang-jin, Kim Young-dae, Noh Hyun-jin, Oh Seung-jae, Yoo Iseul, Ha Yu-jin, Koo Gi-bang, Hong Soonsun, Kwon Sungwon, Kim You-sun",86-94,Article,Journal of Ginseng ResearchOpen Access,Jan-19,,1,1,1,1
1434,HS-173 as a novel inducer of RIP3-dependent necroptosis in lung cancer,0,Hong S.-S.,Elsevier Ireland Ltd,"Park Jung-hee, Jung Kyung-hee, Kim Soo-jung, Yoon Youngchan, Yan Honghua, Fang Zhenghuan, Lee Ji-eun, Lim Joohan, Mah Shinmee, Hong Sungwoo, Kim You-sun, Hong Soonsun",94-104,Article,Cancer Letters,01-Mar-19,,1,1,0,1
1435,An integrative data mining and omics-based translational model for the identification and validation of oncogenic biomarkers of pancreatic cancer,0,Kwon S.W.,MDPI AG,"Long Nguyen Phuoc, Jung Kyung-hee, Anh Nguyen Hoang, Yan Honghua, Nghi Tran Diem, Park Seongoh, Yoon Sang-jun, Min Jung-eun, Kim Hyungmin, Lim Joohan, Kim Joon-mee, Lim Johan, Lee Sanghyuk, Hong Soonsun, Kwon Sung-won",155,Article,CancersOpen Access,2019,,1,1,0,1
1436,Metabolomics Approach Based on Multivariate Techniques for Blood Transfusion Reactions,0,Hong S.-S.,Nature Publishing Group,"Lee Seul-ji, Wang Haiping, Ahn Soohyun, Son Mikwon, Hyun Gyu-hwan, Yoon Sang-jun, Lee Jeongmi, Park Jeong-hill, Lim Johan, Hong Soonsun, Kwon Sung-won",1740,Article,Scientific ReportsOpen Access,01-Dec-19,,1,1,0,1
1437,Spheroid-induced epithelial-mesenchymal transition provokes global alterations of breast cancer lipidome: A multi-layered omics analysis,0,Kwon S.W.,Frontiers Media S.A.,"Kang Yun-pyo, Yoon Jung-ho, Long Nguyen Phuoc, Koo Gi-bang, Noh Hyun-jin, Oh Seung-jae, Lee Sae-bom, Kim Hyungmin, Hong Ji-yeon, Lee Won-jun, Lee Seul-ji, Hong Soonsun, Kwon Sung-won, Kim You-sun",145,Article,Frontiers in OncologyOpen Access,2019,,1,1,0,1
1438,Systemic and Local Metabolic Alterations in Sleep-Deprivation-Induced Stress: A Multiplatform Mass-Spectrometry-Based Lipidomics and Metabolomics Approach,0,Kwon S.W.,American Chemical Society,"Yoon Sang-jun, Long Nguyen Phuoc, Jung Kyung-hee, Kim Hyungmin, Hong Yu-jin, Fang Zhenghuan, Kim Sunjo, Kim Tae-joon, Anh Nguyen Hoang, Hong Soonsun, Kwon Sung-won",3295-3304,Article,Journal of Proteome Research,06-Sep-19,,1,1,0,1
1439,"Steroidomics for the prevention, assessment, and management of cancers: A systematic review and functional analysis",0,Kwon S.W.,MDPI AG,"Anh Nguyen Hoang, Long Nguyen Phuoc, Kim Sunjo, Min Jung-eun, Yoon Sang-jun, Kim Hyungmin, Yang Eugine, Hwang Eun-sook, Park Jeong-hill, Hong Soonsun, Kwon Sung-won",199,Review,MetabolitesOpen Access,2019,,1,1,0,1
1440,Apoptotic Effects of Xanthium strumarium via PI3K/AKT/mTOR Pathway in Hepatocellular Carcinoma,0,Hong S.-S.,Hindawi Limited,"Kim Juyoung, Jung Kyung-hee, Ryu Hyung-won, Kim Doo-young, Oh Sei-ryang, Hong Soonsun",2176701,Article,Evidence-based Complementary and Alternative MedicineOpen Access,2019,,1,1,0,1
1441,0,0,0,0,0,0,0,0,0,,0,0,1,1
1442,0,0,0,0,0,0,0,0,0,,0,0,1,1
1443,0,0,0,0,0,0,0,0,0,,0,0,1,1
1444,0,0,0,0,0,0,0,0,0,,0,0,1,1
1445,0,0,0,0,0,0,0,0,0,,0,0,1,1
1446,0,0,0,0,0,0,0,0,0,,0,0,1,1
1447,0,0,0,0,0,0,0,0,0,,0,0,0,0
1448,0,0,0,0,0,0,0,0,0,,0,0,1,1
1449,0,0,0,0,0,0,0,0,0,,0,0,1,1
1450,0,0,0,0,0,0,0,0,0,,0,0,1,1
1451,Water crossover phenomena in all-vanadium redox flow batteries,0,Ju H.,Elsevier Ltd,"Oh Kyeongmin, Moazzam Milad, Gwak Geonhui, Ju Hyunchul",101-111,Article,Electrochimica Acta,20-Feb-19,,1,1,0,1
1452,Multi-scale and multi-dimensional thermal modeling of lithium-ion batteries,0,Ju H.,MDPI AG,"Gwak Geonhui, Ju Hyunchul",374,Article,EnergiesOpen Access,24-Jan-19,,1,1,0,1
1453,Performance and efficiency analysis of an HT-PEMFC system with an absorption chiller for tri-generation applications,0,Ju H.,MDPI AG,"Gwak Geonhui, Kim Minwoo, Kim Dohwan, Faizan Muhammad, Oh Kyeongmin, Lee Jaeseung, Choi Jaeyoo, Lee Nammin, Lim Kisung, Ju Hyunchul",905,Article,EnergiesOpen Access,2019,,1,1,0,1
1454,Demosaicking algorithm for white-RGB CFA images,0,Song B.C.,Institution of Engineering and Technology,"Choi Jun-ho, Choi Dong-yoon, Song Byung-cheol",811-816,Article,IET Image Processing,18-Apr-19,,1,1,0,1
1455,Hardware-efficient color correlation-Adaptive demosaicing with multifiltering,0,Song B.C.,SPIE,"Lee Seunghyun, Choi Dong-yoon, Song Byung-cheol",13018,Article,Journal of Electronic Imaging,01-Jan-19,,1,1,0,1
1456,Macro unit-based convolutional neural network for very light-weight deep learning,0,Song B.C.,Elsevier Ltd,"Kim Dae-ha, Lee Minkyu, Lee Seunghyun, Song Byung-cheol",68-75,Article,Image and Vision Computing,Jul-19,,1,1,0,1
1457,0,0,0,0,0,0,0,0,0,,0,0,0,0
1458,3D depth computation of moving objects using a CNN with an orthogonal stereo fisheye camera system,0,Song B.C.,Institute of Electronics and Information Engineers,"Lee Seunghyun, Han Taeyoung, Lee Minkyu, Lee Kang-il, Song Byung-cheol",358-366,Article,IEIE Transactions on Smart Processing and Computing,30-Oct-19,,1,0,1,1
1459,Near-lossless image compression algorithm to reduce the memory bandwidth of display devices,0,Song B.C.,Institute of Electronics and Information Engineers,"Park Jiyun, Choi Jihoon, Choi Dong-yoon, Song Byung-cheol",465-474,Article,IEIE Transactions on Smart Processing and Computing,30-Dec-19,,1,0,0,1
1460,Demosaicking with adaptive reference range selection,0,Lee S.-C.,SPIE,"Park Bo-gyu, Lee Hyun-gyu, Lee Sang-chul",13021,Article,Journal of Electronic Imaging,01-Jan-19,,1,1,0,1
1461,Cell Segmentation for Quantitative Analysis of Anodized TiO 2 Foil,0,Lee S.-C.,IEEE Computer Society,"Lee Hyun-gyu, Lee Sang-chul",2828-2837,Article,IEEE Transactions on Industrial Informatics,Article number 8444752,,1,1,0,1
1462,Dynamic power and subcarrier allocation for downlink OFDMA systems under imperfect CSI,0,Yang Q.,Springer New York LLC,"Liu Fei, Yang Qinghai, He Qingsu, Park Daeyoung, Kwak Kysungsup",545-558,Article,Wireless Networks,15-Feb-19,,1,1,0,1
1463,Impact of mobility on energy consumption in wireless networks,0,Xu M.,Springer New York LLC,"Xu Mengmeng, Yang Qinghai, Kwak Kysungsup, Park Daeyoung",2249-2258,Article,Wireless Networks,01-Jul-19,,1,1,1,1
1464,0,0,0,0,0,0,0,0,0,,0,0,1,1
1465,Hot deformation behavior of AA6005 modified with CaO-added Mg at high strains,0,Hyun S.-K.,Elsevier Ltd,"Lee Jiwoon, Son Hyeon-woo, Hyun Soongkeun",1081-1091,Article,Journal of Alloys and Compounds,05-Feb-19,,1,1,0,1
1466,Room Temperature Bonding on Interface Between Metal and Ceramic,0,Mhin S.,Springer New York LLC,"Jang Kyu-bong, Mhin Sungwook, Lim Sungchul, Song Young-sik, Lee Keun Hyo, Park Soo-keun, Moon Kyoungil I., Lee Seung-hwan, Hyun Soongkeun",72-78,Article,Journal of Electronic Materials,15-Jan-19,,1,0,0,1
1467,Effects of CaO addition and strain rate on the texture evolution of AZ31 alloy,0,Lee J.-W.,Elsevier Ltd,"Son Hyeon-woo, Lee Jiwoon, Hyun Soongkeun",724-732,Article,Materials Science and Engineering A,28-Jan-19,,1,1,0,1
1468,Evaluation of Hot Deformation and Dynamic Recrystallization Behaviors of Advanced Reduced-Activated Alloy (ARAA),0,Lee J.-W.,Korean Institute of Metals and Materials,"Kim Sang-wook, Son Hyeon-woo, Jung Taek-kyun, Chun Young-bum, Park Yihyun, Lee Jiwoon, Hyun Soongkeun",888-899,Article,Metals and Materials International,01-Jul-19,,1,1,1,1
1469,Removal of Mg and MgO by-products through magnesiothermic reduction of Ti powder in self-propagating high-temperature synthesis,0,Park K.-T.,MDPI AG,"Choi Sang-hoon, Sim Jae-jin, Lim Jae-hong, Seo Seokjun, Kim Dong-wook, Hyun Soongkeun, Park Kyoung-tae",169,Article,MetalsOpen Access,2019,,1,1,0,1
1470,0,0,0,0,0,0,0,0,0,,0,1,0,1
1471,Precipitate transformation of τ-AlMn phases to Al 8 Mn 4 Ca during solution heat treatment of CaO-added AZ31 alloys,0,Lee J.-W.,Elsevier Inc.,"Son Hyeon-woo, Lee Jiwoon, Hyun Soongkeun",368-377,Article,Materials Characterization,May-19,,1,1,0,1
1472,0,0,0,0,0,0,0,0,0,,0,1,0,1
1473,0,0,0,0,0,0,0,0,0,,0,1,0,1
1474,0,0,0,0,0,0,0,0,0,,0,1,0,1
1475,0,0,0,0,0,0,0,0,0,,0,1,0,1
1476,0,0,0,0,0,0,0,0,0,,0,1,0,1
1477,0,0,0,0,0,0,0,0,0,,0,0,1,1
1478,Influence of the distribution of nanoparticles on the NO2 sensing properties of SnO2 nanorods decorated with CaO and Pt,0,Lee C.,Elsevier Ltd,"Nam Bumhee, Lee Wooseok, Ko Taegyung Kyoung, Lee Chongmu, Hyun Soongkeun, Choi Seung-bok, Lee Wanin",649-659,Article,Journal of Alloys and Compounds,25-Sep-19,,1,1,0,1
1479,"3rd International Conference on Advanced Engineering Materials and Technology, AEMT 2013(Conference Review)",0,Copyright 2013 Elsevier B.V. All rights reserved.,0,asd,2013,Conference Review,Advanced Materials Research,Volume 750-752,,1,1,0,1
1480,Effect of surface treatments on cast-bonding characteristics of steel-aluminum hybrid composite materials,0,Lim K.M.,Polish Academy of Sciences,"Kim Hyo-jung, Kim Tae-hyeong, Shin Jesik, Park Seung-yeon, Hyun Soongkeun, Lim Kyoungmook",889-892,Article,Archives of Metallurgy and MaterialsOpen Access,2019,,1,1,0,1
1481,Fabrication of 4N5 grade tantalum wire from tantalum scrap by EBM and drawing,0,Park K.-T.,Polish Academy of Sciences,"Yu Ji-won, Choi Sang-hoon, Sim Jae-jin, Lim Jae-hong, Seo Kyoung Deok, Hyun Soongkeun, Kim Tae Youb, Gu Bon Woo, Park Kyoung-tae",935-941,Article,Archives of Metallurgy and MaterialsOpen Access,2019,,1,1,0,1
1482,0,0,0,0,0,0,0,0,0,,0,0,1,1
1483,Heat Treatment Map of Al2Ca-added AlSi11MnMg Pressure-Cast Alloy Plotted by Full Factorial Design of Experiment and Analysis of Variance,0,Yeom G.-Y.,Springer,"Yeom Gilyoung, Eisaabadi B Ghasem, Kim Shaekwang, Hyun Soongkeun, Sim Kyeong Suk, Yoon Youngok",511-516,Article,Metal Science and Heat Treatment,01-Nov-19,,1,1,0,1
1484,Temperature dependence of the color rendering index of a phosphor-conversion white light-emitting diode,0,Ryu H.-Y.,American Institute of Physics Inc.,"Ryu Geun-hwan, Ma Byongjin, Ryu Hanyoul",15009,Article,AIP AdvancesOpen Access,01-Jan-19,,1,1,0,1
1485,Microcavity Effect in InAs/GaAs Quantum Dot Infrared Photodetector on a Si Substrate Fabricated with Metal Wafer Bonding and Epitaxial Lift-Off Techniques,0,Ryu H.Y.,Institute of Electrical and Electronics Engineers Inc.,"Kim Hosung, Ryu Geun-hwan, Ahn Seung-yeop, Ryu Hanyoul, Choi Wonjun June",8606424,Article,IEEE Photonics JournalOpen Access,Feb-19,,1,1,0,1
1486,Efficiency droop and effective active volume in gan-based light-emitting diodes grown on sapphire and silicon substrates,0,Ryu H.-Y.,MDPI AG,"Ryu Hanyoul, Ryu Geun-hwan, Onwukaeme Chibuzo",4160,Article,Applied Sciences (Switzerland)Open Access,01-Oct-19,,1,1,0,1
1487,Accurate simulation of a shallow-etched grating antenna on silicon-on-insulator for optical phased array using finite-difference time-domain methods,0,Ryu H.-Y.,Optical Society of Korea,"Seo Dong-ju, Ryu Hanyoul",522-530,Article,Current Optics and PhotonicsOpen Access,2019,,1,1,1,1
1488,Modification of hyperon masses in nuclear matter,0,Copyright 2019 Elsevier B.V. All rights reserved.,American Physical Society,"Hong Ki-hoon, Yakhshiev Ulugbek T., Kim Hyun-chul",35212,Article,Physical Review C,26-Mar-19,,1,1,0,1
1489,Nucleon and Δ isobar in a strong magnetic field,0,Copyright 2019 Elsevier B.V. All rights reserved.,American Physical Society,"Yakhshiev Ulugbek T., Kim Hyun-chul, Oka Makoto",54027,Article,Physical Review D,01-Mar-19,,1,1,0,1
1490,Effects of nucleon resonances on η photoproduction off the neutron reexamined,0,Copyright 2019 Elsevier B.V. All rights reserved.,American Physical Society,"Suh Jung-min, Kim Sang-ho, Kim Hyun-chul",74010,Article,Physical Review D,01-Apr-19,,1,1,0,1
1491,Vector and Axial-vector form factors in radiative kaon decay and flavor SU(3) symmetry breaking,0,Kim H.-C.,Elsevier B.V.,"Shim Sang-in, Hosaka Atsushi, Kim Hyun-chul",438-445,Article,"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy PhysicsOpen Access",10-Aug-19,,1,1,0,1
1492,Electromagnetic form factors of the baryon decuplet with flavor SU(3) symmetry breaking,0,Kim H.-C.,Springer New York LLC,"Kim June-young, Kim Hyun-chul",570,Article,European Physical Journal COpen Access,01-Jul-19,,1,1,0,1
1493,New narrow nucleon resonances N∗(1685) and N∗(1726) within the chiral quark-soliton model,0,Kim H.-C.,Physical Society of Japan,"Yang Ghil-seok, Kim Hyun-chul",093D01,Article,Progress of Theoretical and Experimental PhysicsOpen Access,26-Sep-19,,1,0,0,1
1494,Board directors' expertise and corporate corruption disclosure: The moderating role of political connections,0,Kim J.D.,MDPI AG,"Masud Md Abdul Kaium, Bae Seong-mi, Manzanares Javier, Kim Jong-dae",4491,Article,Sustainability (Switzerland)Open Access,01-Aug-19,,1,1,0,1
1495,Organizational strategy and corporate social responsibility: The mediating effect of triple bottom line,0,Kim J.D.,MDPI AG,"Masud Abdul Kaium, Rashid Harun Ur, Khan Tehmina, Bae Seong-mi, Kim Jong-dae",4559,Article,International Journal of Environmental Research and Public HealthOpen Access,02-Nov-19,,1,1,0,1
1496,The role of foreign affiliate productivity in the integration strategies of multinational firms,0,Copyright 2019 Elsevier B.V. All rights reserved.,Blackwell Publishing Ltd,"Han Jaejoon, Lee Hongshik, Lee Joonhyung",1576-1597,Article,World Economy,May-19,,1,1,0,1
1497,Di/Visibility: Marks of Bisexuality in Philippine Cinema,0,David J.,Routledge,David Joel,440-454,Article,Journal of Bisexuality,03-Jul-19,,1,1,0,1
1498,Dietary behaviors and nutritional status according to the bone mineral density status among adult female North Korean refugees in South Korea,0,Lee S.-K.,Korean Nutrition Society,"Kim Su-hyeon, Lee Soo-kyung, Kim Sin-gon",449-464,Article,Journal of Nutrition and Health,2019,,1,0,1,1
1499,Biofilm formation of Listeria monocytogenes and its resistance to quaternary ammonium compounds in a simulated salmon processing environment,0,Yuk H.-G.,Elsevier Ltd,"Pang Xinyi, Wong Chunhong, Chung Hyunjung, Yuk Hyun Gyun",200-208,Article,Food Control,Apr-19,,1,1,0,1
